drop_multiplier,perc_drop_threshold,waiting_days,perc_monthly_invest,mean_roi,perc_conservative_better,runtime
9,0.035,3,0.9,130.49001402484748,0.8431372549019608,142.9428110122681
9,0.035,4,0.9,130.4731259330377,0.8235294117647058,112.01089477539062
9,0.035,5,0.9,130.46874332435561,0.8235294117647058,93.75132203102112
9,0.03,5,0.9,130.46431496143825,0.8431372549019608,102.64230275154114
9,0.035,6,0.9,130.46012198131658,0.8235294117647058,81.54144668579102
9,0.04,3,0.9,130.45437851873857,0.8431372549019608,132.49779653549194
9,0.04,4,0.9,130.45392479601387,0.8431372549019608,104.65762281417848
9,0.035,7,0.9,130.45292922587768,0.8431372549019608,72.28959918022157
9,0.03,6,0.9,130.45218886588302,0.8627450980392157,89.2390820980072
9,0.03,7,0.9,130.45100313388906,0.8235294117647058,79.3040256500244
9,0.035,8,0.9,130.45044780600244,0.8431372549019608,65.371666431427
9,0.03,8,0.9,130.44544120903,0.8235294117647058,71.66037535667421
9,0.04,5,0.9,130.44329099535048,0.8235294117647058,86.57874965667725
9,0.045,5,0.9,130.44255775640949,0.8039215686274509,79.60496973991394
9,0.045,4,0.9,130.43863717106115,0.8039215686274509,95.17926383018494
9,0.04,8,0.9,130.43705125266558,0.7843137254901961,60.46183228492737
9,0.05,3,0.9,130.43065791532482,0.8039215686274509,113.2037432193756
9,0.04,6,0.9,130.4290644942053,0.8039215686274509,74.9988751411438
9,0.05,5,0.9,130.42866343673964,0.7843137254901961,73.48452472686769
9,0.05,4,0.9,130.42855486542948,0.8039215686274509,88.55827784538269
9,0.045,8,0.9,130.4277880653583,0.8039215686274509,55.33985352516174
9,0.04,7,0.9,130.4270575040902,0.8431372549019608,66.7534532546997
9,0.045,3,0.9,130.42594342865536,0.8431372549019608,121.36982083320619
9,0.05,7,0.9,130.41784585732466,0.7647058823529411,57.14132618904114
9,0.045,7,0.9,130.41287132392318,0.8039215686274509,61.48002243041992
9,0.045,6,0.9,130.40365142428104,0.8431372549019608,68.64398193359375
9,0.05,6,0.9,130.40075080599166,0.8235294117647058,63.99223780632019
9,0.035,3,0.8,130.39943824245034,0.8431372549019608,144.84098362922668
9,0.05,8,0.9,130.39380229873973,0.8431372549019608,51.55470848083496
9,0.035,4,0.8,130.36570422107266,0.8235294117647058,112.00774455070496
9,0.035,5,0.8,130.35693390487543,0.8235294117647058,93.71799516677856
9,0.03,5,0.8,130.34792864858505,0.8431372549019608,102.75023984909058
9,0.035,6,0.8,130.33968792116772,0.8235294117647058,81.1980457305908
9,0.04,3,0.8,130.32823016406098,0.8431372549019608,132.66100192070007
9,0.04,4,0.8,130.3273380706215,0.8431372549019608,103.5715832710266
9,0.035,7,0.8,130.32529260932222,0.8431372549019608,72.86664009094237
9,0.03,6,0.8,130.3236815927194,0.8627450980392157,89.19367980957031
9,0.03,7,0.8,130.3213067194173,0.8235294117647058,79.28806090354921
9,0.035,8,0.8,130.32035215219793,0.8431372549019608,65.32621002197266
9,0.03,8,0.8,130.3101975640393,0.8235294117647058,71.68900203704834
9,0.035,3,0.7,130.3092500233361,0.8431372549019608,143.50462245941162
9,0.04,5,0.8,130.30607171114713,0.8235294117647058,86.36748600006105
9,0.045,5,0.8,130.30463291299714,0.8039215686274509,79.53849482536316
9,0.045,4,0.8,130.2967862256883,0.8039215686274509,95.15062069892885
9,0.04,8,0.8,130.29359591483657,0.7843137254901961,60.44120669364929
9,0.05,3,0.8,130.28091456139612,0.8039215686274509,113.21759843826294
9,0.04,6,0.8,130.2775905998338,0.8039215686274509,75.05295324325563
9,0.05,5,0.8,130.27689921842392,0.7843137254901961,73.50726532936095
9,0.05,4,0.8,130.27667902239486,0.8039215686274509,88.36530947685242
9,0.045,8,0.8,130.27505595712532,0.8039215686274509,55.47652649879456
9,0.04,7,0.8,130.27358700053202,0.8431372549019608,66.70672774314879
9,0.045,3,0.8,130.271389998599,0.8431372549019608,121.24365949630736
9,0.035,4,0.7,130.25871389143586,0.8235294117647058,111.8676414489746
9,0.05,7,0.8,130.2552108694116,0.7647058823529411,57.063917636871345
9,0.035,5,0.7,130.2455507857,0.8235294117647058,93.77929258346558
9,0.045,7,0.8,130.2451873248439,0.8039215686274509,61.36240363121033
9,0.03,5,0.7,130.23181654928698,0.8431372549019608,102.79688572883606
9,0.045,6,0.8,130.22672963444248,0.8431372549019608,68.6666579246521
9,0.05,6,0.8,130.22099065961507,0.8235294117647058,63.862202644348145
9,0.035,6,0.7,130.21967708848481,0.8235294117647058,81.25023174285889
9,0.035,3,0.6,130.2194560666093,0.8431372549019608,143.5828967094421
9,0.05,8,0.8,130.20706163590194,0.8431372549019608,51.668116807937615
9,0.04,3,0.7,130.20253434591177,0.8431372549019608,132.65728640556335
9,0.04,4,0.7,130.20121984489748,0.8431372549019608,103.69110679626465
9,0.035,7,0.7,130.19806940237734,0.8431372549019608,72.13456058502197
9,0.03,6,0.7,130.1954540711672,0.8627450980392157,89.1697027683258
9,0.03,7,0.7,130.1918866121676,0.8235294117647058,79.3858199119568
9,0.035,8,0.7,130.1906929981771,0.8431372549019608,65.29342746734619
9,0.03,8,0.7,130.1752453835198,0.8235294117647058,71.70543241500854
9,0.04,5,0.7,130.16932234642687,0.8235294117647058,86.37012195587158
9,0.045,5,0.7,130.16720649424985,0.8039215686274509,79.46658968925477
9,0.045,4,0.7,130.15542800673552,0.8039215686274509,95.18234062194824
9,0.035,4,0.6,130.15216335801168,0.8235294117647058,111.91448879241943
9,0.04,8,0.7,130.15061494463336,0.7843137254901961,60.48890280723572
9,0.035,5,0.6,130.134602398454,0.8235294117647058,93.67673802375792
9,0.05,3,0.7,130.13175347139557,0.8039215686274509,113.0095944404602
9,0.04,6,0.7,130.12655848682564,0.8039215686274509,74.9740779399872
9,0.05,5,0.7,130.12569088556558,0.7843137254901961,73.5183925628662
9,0.05,4,0.7,130.12535566817948,0.8039215686274509,88.41182231903076
9,0.045,8,0.7,130.12278484886156,0.8039215686274509,55.425108909606934
9,0.04,7,0.7,130.12056897351914,0.8431372549019608,66.58601212501526
9,0.045,3,0.7,130.1173204459346,0.8431372549019608,121.32376933097841
9,0.03,5,0.6,130.11598342902676,0.8431372549019608,102.83933782577516
9,0.035,6,0.6,130.10009814601656,0.8235294117647058,81.12568902969359
9,0.05,7,0.7,130.09307822642515,0.7647058823529411,57.074504137039185
9,0.045,7,0.7,130.07792880781463,0.8039215686274509,61.3673243522644
9,0.04,3,0.6,130.07729986418337,0.8431372549019608,132.59876275062558
9,0.04,4,0.6,130.07557954635723,0.8431372549019608,103.51010727882385
9,0.035,7,0.6,130.07126825138113,0.8431372549019608,72.3083004951477
9,0.03,6,0.6,130.06751148212922,0.8627450980392157,88.91047883033752
9,0.03,7,0.6,130.06274795715808,0.8235294117647058,79.28493332862855
9,0.035,8,0.6,130.0614797179298,0.8431372549019608,65.37332010269165
9,0.045,6,0.7,130.0502150780323,0.8431372549019608,68.77659273147583
9,0.05,6,0.7,130.04170230646042,0.8235294117647058,64.01729917526245
